subset|auc|average_precision|tn|fp|fn|tp|accuracy|precision|recall|f1_score
overall|0.820|0.8256992119089317|206|94|23|477|0.85375|0.8353765323992994|0.954|0.8907563025210085
label_A|nan|0.0|206|94|0|0|0.6866666666666666|0.0|0.0|0.0
label_B1|nan|1.0|0|0|2|118|0.9833333333333333|1.0|0.9833333333333333|0.9915966386554622
label_B2|nan|1.0|0|0|1|83|0.9880952380952381|1.0|0.9880952380952381|0.9940119760479041
label_B4|nan|1.0|0|0|1|100|0.9900990099009901|1.0|0.9900990099009901|0.9950248756218906
label_B5|nan|1.0|0|0|1|7|0.875|1.0|0.875|0.9333333333333333
label_B6|nan|1.0|0|0|16|80|0.8333333333333334|1.0|0.8333333333333334|0.9090909090909091
label_G|nan|1.0|0|0|2|89|0.978021978021978|1.0|0.978021978021978|0.9888888888888889
